Observation,Viscosity,Turbidity,Density,Luminescence,Altitude,Attitude,Resistivity,pH,HP,UV absorbance,Taste,Good?
66,-1.747593569,0.791494387,1.049408938,3.147411648,2.821151633,0.053114033,8.313738637,2.00226019,1.354790118,2.928244545,0.924133449,1
67,0.386585021,2.586616271,3.354873388,3.26747632,-0.9101456,3.196410175,8.960557522,2.633811056,4.094388393,0.617244833,2.925551721,1
68,0.43938233,1.300104212,3.481618128,1.820401624,2.207864031,0.386547262,9.858280702,4.960723037,2.701751234,1.783690574,0.952391533,1
69,-0.009138345,2.120656094,3.435427998,3.510059342,1.617881627,1.344687518,8.742410587,3.61862425,2.801976545,2.615261444,1.432764431,1
70,0.432403331,1.916446756,1.691343629,2.424448526,1.952445725,0.725392886,9.474043471,3.581819336,2.586950175,1.382981953,1.621553601,1
71,0.193142886,2.24657574,2.984089739,2.306251248,0.385219914,1.57492148,8.507260869,5.237360805,2.083686388,2.148145625,1.315614573,1
72,0.139235997,-0.198825051,1.233939908,2.309076749,1.255064204,1.60987051,9.712970188,3.774206109,2.995310089,0.53711343,2.719620277,1
73,1.406590287,-0.04042103,2.276672216,2.260219765,0.94467443,1.156034318,6.203223525,3.56975946,4.102607273,0.965158,1.935629863,1
74,1.502609497,3.836306072,2.879727867,2.464311441,1.441634085,0.918023961,9.497399031,1.711490815,2.545923049,1.288539766,1.861346737,1
75,1.375064296,1.940587649,0.732656375,4.239818341,0.347367847,0.515121547,8.8001487,4.683768286,3.845574188,-1.136768066,1.464714702,1
76,0.896950413,2.482611856,2.787189536,3.137978043,0.708996124,3.64148127,6.851506372,4.221428444,1.213742387,0.67887099,1.491947125,1
77,1.207774584,2.365687066,2.280651001,4.245207281,1.859140821,0.814622206,9.053917063,2.716024549,3.980449016,1.974686313,-0.333424998,1
78,0.636828507,1.867813762,0.855839335,2.053562501,0.982286538,1.543029135,9.095950952,4.259679656,1.385334913,-0.712925458,-0.465696645,1
79,-0.617831494,2.384182757,1.80224502,3.851386716,-0.424705482,0.386648262,8.146555575,2.945890721,4.222437768,1.551253193,1.218857708,1
80,-0.393508078,1.923814297,2.408925742,3.334287823,0.233251146,2.595448477,6.865328392,4.548191044,1.970789232,0.23750925,0.373552337,1
81,-0.22216349,1.73515668,2.190796971,1.783434179,-0.129364398,1.792116623,7.580435941,3.922693405,3.022049127,2.775093377,4.02648732,1
82,-0.60699428,0.85276858,2.108233807,1.988840242,-0.130278055,2.670838189,7.724520463,4.29823029,2.388947291,1.373675743,2.573345551,1
83,-0.674676029,0.260985556,2.833756255,3.356773191,2.338332387,2.511774394,9.414545247,3.045066685,3.45620324,-0.2665475,0.700584078,1
84,1.259984574,2.301079181,2.246521514,3.895427985,0.589695995,-0.520528774,7.81033934,2.938560894,3.500414931,1.324567296,1.453789241,1
85,1.227283201,2.883222665,1.587782374,3.707315795,1.339678232,2.356889748,8.839116177,2.988487956,2.904871908,0.746333171,2.858611416,1
86,0.790939356,1.139639103,1.64816076,2.849966696,0.315945674,0.181489812,8.13730115,3.255028582,3.428121007,2.093018521,2.310746097,0
87,0.293975553,3.181211411,1.528646894,2.746712848,-0.646941521,0.719234862,8.732389233,4.068441882,3.618540014,0.321512747,2.054810594,1
88,0.001519628,2.374203513,1.760029312,0.684782264,0.885665589,2.752617577,7.516333599,5.218795271,1.467322961,0.634066157,0.0537384,1
89,-1.083325886,1.032573182,2.862866789,3.601404826,1.499367082,-0.494415594,9.220425443,2.19318219,1.752861617,1.332269601,3.737267401,1
90,0.067846407,0.856829779,1.934646935,2.236903016,1.092400749,0.627168517,8.639107114,2.445261657,1.65089702,1.650356802,2.930150163,1
91,-0.480463655,4.09708989,0.529621249,3.134183601,1.006014025,-1.049308009,7.406748992,4.570741542,3.025979109,-0.056205487,2.607610249,1
92,-0.065417145,2.319773005,1.219828965,2.395697356,-0.381970442,-0.27013216,9.335593111,2.859196812,2.914521125,1.872238781,0.075322801,1
93,0.15578093,1.810181355,1.974293848,3.957663871,0.576840328,0.954886747,8.21634892,4.147592312,3.489454315,2.102047948,1.196296945,1
94,0.907259667,1.517549724,2.27951978,2.613176268,0.707147918,-0.048877012,5.574698174,3.529353585,0.975672357,1.469609816,2.13007846,1
95,0.145714464,2.272207929,2.09814349,4.032455649,-0.701899962,1.85868458,9.888476287,4.26325276,4.126473619,3.138945496,1.855925142,1
96,-0.057353506,2.514619554,3.699653655,2.317744868,0.293654343,0.50435492,7.874072278,3.274356892,2.176140064,0.679484928,1.925446676,1
97,-1.038009592,1.617136573,1.248341769,2.247652533,2.283156828,0.507995333,9.201895341,3.201047129,3.948261628,0.178217211,0.221087427,1
98,1.285410979,2.910054419,1.785419176,4.423695763,2.06132273,1.017370124,8.244434483,5.651720208,3.08999317,2.891984445,3.084615783,1
99,0.593812441,0.912956124,2.347063132,3.27161576,-0.268963604,1.792611758,8.71021971,4.14414279,2.288440546,1.942441656,0.4139125,1
100,0.932214602,1.370516148,1.64348533,3.739149144,0.441391279,2.337376912,7.532765,4.088598283,2.820915611,-0.303915654,2.234936025,1
101,2.005289828,2.718268653,1.820569806,3.255203783,-0.349775832,1.049946729,11.50058384,3.144445128,2.752802036,0.744945222,0.306084265,1
102,-2.734507428,2.361504014,3.013838175,3.270520997,1.480803142,-0.034742996,7.803733296,4.802703158,1.783259203,1.17147525,1.687256897,1
103,-1.501259529,2.801413608,1.824268327,3.009726445,0.751761748,1.51057792,8.46306872,3.861432454,1.691244069,0.977974623,0.696457349,0
104,-0.619748094,2.131076804,3.887265,2.632160677,2.125033676,1.811353572,9.449204796,2.867765212,2.015647542,0.259131573,1.609788857,1
105,0.255834269,2.843231495,2.97166893,3.437310513,3.21333659,1.725506599,8.683218796,2.008497755,2.50704924,3.031045044,1.450654355,1
106,-0.219990815,2.75303252,1.588427355,2.843777866,1.503039721,0.182656788,8.661040207,2.679393791,3.383720949,0.082152437,2.540982191,1
107,-0.257873155,2.238907321,3.267757937,1.142707856,2.872150065,1.260778486,8.371743375,5.330500702,2.755484574,2.142870897,3.526900956,1
108,-0.57330957,3.356935746,2.905198039,2.271707623,1.859325796,-0.132244515,8.408200888,5.115428993,4.496703929,0.9163851,1.159995864,1
109,0.701470249,2.04829154,3.59799207,3.390719443,0.738795837,1.092629754,8.376703456,2.378949858,3.52650429,1.712044577,0.437392891,1
110,0.487204782,1.64791277,0.769258051,2.369992704,0.066025011,3.206041239,10.04726092,2.66401778,0.821536238,1.706622103,0.486940531,1
111,0.959487891,2.453083561,1.943235064,1.360992863,1.019167813,2.582805622,10.32916422,4.603015777,2.56636672,0.350920572,1.204896063,1
112,2.127355225,2.217688311,2.669459513,3.22000444,1.100356491,0.602184145,8.760963448,4.391487091,2.358280756,1.861300628,0.768882454,1
113,0.459425259,0.95937465,1.747506795,3.501310745,0.597069154,1.673086161,8.731324229,3.815650029,2.159444448,2.301279504,0.773788663,1
114,0.870398252,1.303006998,1.608716519,2.434574912,1.44851308,0.606975617,8.536725297,3.141329066,1.052491467,-2.487754586,2.450446457,1
115,0.24027983,1.05937612,4.59654186,2.804310938,1.431367356,1.941433808,9.039146554,3.538538804,1.706756411,1.04637412,2.949628017,1
116,-0.464898327,4.261572382,2.510433645,1.545066831,-0.66307239,0.666768566,6.875490688,3.817236628,2.558589698,0.335143967,1.231509143,1
117,0.733687895,3.65759566,2.52207606,3.051525404,1.763094273,1.633593044,8.579935897,3.586324425,2.901479554,1.346128255,1.102020685,1
118,-0.550908165,0.83634345,3.121463452,2.564132038,1.37899855,1.545935808,9.468662316,4.077628095,1.999908925,1.19350375,1.996165823,0
119,2.24182095,0.935534605,1.925477726,3.839909557,1.642970791,0.888349033,10.05305765,1.433864362,2.755175167,0.010064624,1.791282812,1
120,1.51002296,2.772567764,2.303991974,2.222813234,1.324406159,0.635624325,8.361451929,3.818360536,1.414567902,1.974211477,1.739478559,1
121,0.774902603,1.65750886,1.832786558,4.163324576,1.030383543,1.245390517,7.954967259,3.725104437,2.96357689,0.612174142,1.469124438,1
122,0.334926082,0.72720139,2.577291029,2.665937092,-2.020605649,-0.185590457,7.93372997,1.75620556,4.206255498,1.754390015,1.764644945,1
123,-0.217587435,1.020925678,1.588451156,0.166177275,0.098847417,2.627432805,8.318527033,3.644442056,2.749658281,-1.031358734,2.404787788,1
124,2.109193266,1.01283269,3.50795679,4.121133278,0.80370677,-0.925021677,9.715025982,2.046400235,2.61862467,0.30512252,2.226925484,1
125,0.508068967,1.716156221,2.078542157,2.148727045,-0.188933891,-0.164444364,8.992474178,2.461412824,4.321646596,2.333611087,2.313787906,1
126,0.002402766,2.157096602,1.918334578,3.655607668,0.130829242,1.705255229,9.668788311,4.243392267,2.274712605,0.549378599,2.163006614,1
127,0.330417955,2.212271855,2.550206039,3.400156279,1.207897275,0.260318803,8.219323414,2.35954981,2.784906778,0.294879075,1.096071584,1
128,-0.900128141,2.877154244,3.228291219,3.39780861,0.314660534,1.880542416,9.513862248,5.231197653,3.788321156,1.871573983,-1.003724269,1
129,0.542331213,0.402653465,4.685425014,3.615007099,0.892267237,1.137538745,8.513851443,3.249623635,1.751358281,0.857340078,0.620793534,1
130,1.495152835,3.817723361,2.677711128,2.088130382,0.807660719,0.124433357,7.828708189,3.945373409,3.780909141,1.221907419,2.159846399,1
131,0.67367965,1.728532579,4.426461578,3.769461235,1.185203319,1.539382306,7.806270458,4.420381638,1.413693341,0.984749021,2.171544995,1
132,0.038512377,1.17144543,1.451282944,3.298482863,2.622298105,1.513729926,7.745228569,3.905889333,2.356054888,1.487206964,0.570541241,1
133,0.065079693,2.422113628,2.045836806,2.449280441,-1.165761794,1.563609182,8.636241936,1.620701946,3.399354568,1.538261249,2.563917478,1
134,0.792002217,1.658791245,3.190671593,4.390953775,1.61555061,1.964342934,9.651248609,3.950602271,3.22855108,1.327247815,1.917904647,1
135,0.599115471,1.987557978,5.73089596,2.996819936,3.201629072,0.723499668,8.385320007,3.579470245,3.489682315,-0.327073065,1.201046883,1
136,-1.229511664,1.214806428,2.138000659,3.594248408,0.591126578,1.365690017,10.30398322,3.907891141,3.110170117,0.599226798,1.455090789,1
137,0.463567443,2.502732843,3.42193118,3.56046827,0.253035334,0.354225221,9.783312333,2.965349632,1.505392765,0.369086016,0.526345609,1
138,0.517835025,1.882798121,0.86974589,2.106888373,-0.272578963,-0.91436288,8.353583834,3.802490951,3.363169276,-0.469171017,-0.2367696,1
139,1.152375005,1.740286377,1.28694677,4.117145081,1.432968192,0.694479392,6.438195275,2.870350112,3.158035063,-0.289350798,1.311369399,1
140,1.268935739,2.205601905,3.870459232,-0.377453637,-0.183231413,0.695383899,8.542874379,5.30246046,5.411851997,0.481390025,0.530863738,1
141,1.080726904,2.358624066,3.53634873,1.596187511,1.288344969,-1.048024249,9.211915044,2.506788006,4.193059111,1.249618613,1.598080247,1
142,0.43865713,0.907680248,2.091832514,4.416473022,0.347923511,0.742152811,8.033902656,4.284079968,1.85395456,-0.905725287,0.610008948,1
143,0.972216368,3.452992567,4.201681992,2.379650523,0.523268208,2.940194798,8.322234807,2.218264979,3.328787938,0.223346715,1.328239526,1
144,0.338529065,1.594044841,3.811582738,4.17892431,0.592574311,0.438283434,7.942814742,3.987938592,2.518877798,-0.129914535,3.494098141,1
145,-1.736175242,1.451220986,2.202131344,3.675006645,-0.028330737,1.113239399,7.972356012,3.378158728,1.232410762,-0.705827636,1.984023787,1
146,0.093495642,1.859345068,3.141771222,0.457968618,1.637593534,0.870791146,10.45146399,5.723178883,2.458781584,-0.663688542,2.518543964,1
147,-0.563595695,1.661613165,3.058109925,3.608496327,0.892844114,0.594964546,9.64424746,6.043715056,3.899608943,0.779331274,1.804930442,1
148,0.444058468,2.114529962,3.383358677,4.007483079,0.836579004,0.363163665,7.515070229,5.466971317,3.343455291,-0.238994912,1.708052849,1
149,-0.299950014,0.920968152,1.640460464,1.532952212,1.993112325,0.421645672,8.776581587,3.428687833,1.876282275,2.816226393,1.331054517,1
150,0.364564135,3.257398283,0.454167204,3.0926073,1.464323163,0.998346368,7.025328411,2.932382254,2.065810815,1.271011694,2.482286907,1
151,0.172271851,1.202072359,3.264469026,3.211307979,1.383059061,2.228358139,8.931874609,3.922412234,4.067878467,0.118343156,1.673131717,1
152,1.164086868,1.821734921,2.891538345,1.266724501,1.15576589,0.703705873,5.707780007,5.734220751,3.922772439,0.195376469,2.789348623,1
153,-0.198571988,1.698842995,0.381839728,3.71952705,2.854240109,0.551553515,6.954361737,3.031611205,2.191887679,0.516446789,3.567275868,1
154,0.000450554,2.971036306,0.230747634,1.573682678,0.858567941,-0.31370987,8.345553201,2.6039475,2.947547364,1.459516156,1.754785355,1
155,0.640041815,1.758487234,3.067477482,3.251976443,0.375935295,-1.306740216,9.539278699,3.927097314,1.985552189,3.190252298,1.408643047,1
156,-0.894006026,0.748170941,3.820315255,3.253478081,0.960528477,0.580227834,7.885574543,4.057282387,1.181596521,0.776450273,2.715555048,1
157,1.08637838,1.195699557,1.463090862,4.608536325,0.133846428,1.874946518,8.774173907,4.488839524,5.640626102,2.452256023,1.516129433,1
158,-1.140849319,2.920162911,2.664252498,2.306912099,1.519653074,2.270791134,7.916244592,4.168336734,3.883164141,2.662803619,3.007245209,1
159,0.238186715,1.122198311,3.096070499,4.554000476,0.218626006,1.689249231,6.559095551,3.652966173,1.270914714,0.576844174,1.144558991,1
160,0.817969607,2.113587137,3.350475496,2.298603868,0.843083471,0.07604478,8.280704912,4.382676856,3.113305388,2.048941693,1.188078508,1
161,1.061292239,2.097605251,3.980632229,3.814619735,1.870383857,3.447470135,9.183376175,2.371577145,2.31329085,1.822106682,3.918725922,1
162,-0.000756688,1.866557791,1.579297101,3.388249229,-0.747630531,0.833419406,7.415836062,3.932433108,3.982198041,1.081964713,1.324436783,1
163,0.192546253,0.607250579,1.605165776,2.494233595,0.343564303,-0.839982533,8.182818179,4.399285343,3.004850765,-0.130547183,4.539104452,1
164,-0.759085587,2.428244063,2.480622601,2.501662977,1.630054347,2.617230872,8.59809543,4.953193178,4.460524423,-0.842873863,0.376656882,1
165,2.128028867,3.279980109,2.805097812,2.736458086,-0.365070369,2.169136084,8.577969182,3.007139362,4.138100795,-0.024610305,0.783597799,1
166,0.353318657,2.075189094,3.668746278,2.664041139,2.122356586,2.98237853,8.600384225,3.590919382,2.842232869,-0.260817427,1.90368035,1
167,-2.937127151,0.650982252,3.064786266,1.52125284,2.011230867,0.691988205,6.528327535,6.036014956,2.068923474,0.888265635,0.453253753,1
168,1.346000341,2.679904749,3.839925958,2.801695151,1.140778251,1.733709767,8.565023742,3.612850519,2.180497371,-1.061648974,0.780931839,1
169,1.844332602,2.484961288,4.322848904,3.572515476,1.304114564,0.297093478,8.791935693,1.854299361,3.23170933,1.928869169,3.395797895,1
170,1.248908532,3.090413366,2.86616943,3.673063676,0.258695246,1.562645048,8.202950121,2.592792048,1.693313682,1.377618624,0.883347876,1
171,0.728016177,1.872647366,2.156577117,3.283591539,-0.229634355,1.206503111,9.424958183,2.95426352,1.250509759,2.112892777,1.177758271,1
172,0.708340512,0.894465367,3.558358627,2.110289627,1.322340872,-0.366789078,8.969277874,2.551030749,4.898435241,0.656995286,0.197238749,1
173,0.089735251,2.414789253,2.384229706,3.579677773,0.046474665,1.597128698,7.959952453,2.528209246,0.818450252,0.170038758,1.032320381,1
174,0.821609707,1.404134259,3.457621524,3.666690359,2.034517297,0.432481863,8.96697499,3.883085677,2.211770206,-1.002087783,0.049323979,1
175,2.051801463,1.59517155,4.254814146,2.563200306,1.165834551,0.867903818,7.913695883,2.620958811,1.955135133,1.122721528,2.219977115,1
176,0.220841486,4.116232964,1.434139358,2.999757435,0.002980186,1.812684963,8.99142975,4.518524788,4.778445275,0.732301636,1.183331595,1
177,-0.024280878,1.445194843,3.486461347,2.588920342,1.304157603,0.76428001,8.758636803,3.455326636,1.930710081,1.744766856,3.092020562,1
178,-0.988152153,1.932194624,3.12871795,3.022373965,-0.383385843,5.303501642,9.468612411,4.394067001,2.55951864,0.676335366,2.480799457,1
179,-1.550166453,3.640156785,2.936998974,3.966361475,0.491294567,1.696450938,7.755019149,4.959585685,2.996782296,0.008247496,1.137158761,1
180,1.063342453,2.843105938,3.245844408,2.670353458,1.007845595,1.31832197,8.106594695,2.909154419,0.889147559,-0.231927208,2.388167566,1
181,1.382017428,1.715582905,2.93635074,3.242055587,-0.035533352,1.509142964,8.691766008,2.884059333,4.593712463,-1.313269579,1.861975326,1
182,0.185338952,3.5655683,3.588283551,2.329536375,2.184794428,0.700467316,8.409715842,4.65025735,3.580406089,0.918305191,1.873239432,1
183,-0.365968285,2.159556819,1.700951462,0.88087219,0.138349512,0.170777642,7.542691268,3.730349838,3.320872356,0.732830261,4.585119708,1
184,-0.833532273,0.803339616,1.638964263,3.194399176,0.41298809,0.956599796,8.072932036,3.771311007,3.289571257,0.999337537,3.206069193,1
185,-0.310845724,1.200595638,2.712606742,2.871127639,2.769301074,0.876258553,9.196461523,4.629012418,2.503986001,1.666046374,2.34005931,1
186,0.610154304,1.744077703,3.965969078,1.977237808,1.426723328,2.431143776,8.685989587,2.864220351,2.805330638,1.256930365,1.232937252,1
187,2.551299809,0.659683368,3.074641625,3.125007221,0.823950884,1.141190388,9.727143557,5.885597723,2.12025507,0.754334004,2.313582765,1
188,-0.535900998,1.981018914,2.017748399,2.680522579,0.545165384,0.176256406,8.689130876,3.575259002,1.716063055,-1.522544052,2.457948585,1
189,0.906400076,2.994991055,2.846309694,1.488131712,-0.502212748,0.207269239,10.04653668,4.253322472,1.743822315,-0.630599035,2.783175313,1
190,-0.032925201,2.369175182,2.798932832,3.15755579,0.803522658,-0.009567187,8.520111549,2.028548604,2.537806166,1.085555992,2.010375382,1
191,-0.764958438,1.067131097,2.912121655,4.292944726,0.269232511,2.847650024,8.504112278,5.44638694,2.938038804,1.853874683,1.741371304,1
192,-0.323989183,0.281646092,3.80200765,3.22717225,2.464733515,1.894259922,7.924409156,3.396007577,3.264205681,1.815612885,2.284695266,1
193,-0.398383407,2.028878411,3.9626785,3.530059807,1.760622921,3.084350493,9.206442648,2.938648737,4.03076998,0.997874786,1.566819506,1
194,-2.311656133,0.767021375,1.63413916,3.043889149,1.257182677,1.671090052,7.554434943,5.806832393,3.200246788,1.160554297,0.673023232,1
195,2.244126177,2.217161137,3.185053928,2.427474467,1.859350894,2.205803951,10.46210629,2.85420942,3.780804096,0.20440283,1.523826637,1
